date,amount,description,category
2022-05-11,-173.05190054054265,stationery purchase,office
2025-02-04,-2951.0112197128865,warehouse lease payment,rent
2024-08-14,-312.88647611393293,internet bill,utilities
2023-10-04,-292.6055703278138,internet bill,utilities
2023-09-25,-986.4661597004825,social media ads,marketing
2025-06-08,-2588.5487844167446,monthly office rent,rent
2022-05-06,-333.0474490826085,internet bill,utilities
2024-10-15,-2410.6043594359653,monthly office rent,rent
2022-10-22,2090.6490025732937,customer payment received,income
2022-05-18,-616.3628767954003,hotel booking,travel
2024-02-09,-310.61254097163817,internet bill,utilities
2025-11-26,-295.28894865503435,internet bill,utilities
2024-12-10,-1863.779993885931,monthly office rent,rent
2025-01-17,-132.67821990625453,printer ink,office
2024-11-14,-898.782971930001,hotel booking,travel
2025-02-22,-1374.7276365456428,employee payroll,salary
2024-01-20,-278.0099163989712,internet bill,utilities
2022-07-07,-975.6606782884152,campaign spend,marketing
2025-05-11,-895.8086279340451,promotional expense,marketing
2023-10-21,-335.368947356911,electricity payment,utilities
2024-01-02,-1878.266416178215,consultant salary,salary
2023-06-26,-780.5577921957172,hotel booking,travel
2022-09-24,-784.6595911718919,client visit transport,travel
2025-09-16,-658.9738722606659,flight ticket,travel
2025-02-15,-2295.5037767623526,monthly office rent,rent
2024-07-29,-256.56732782721,internet bill,utilities
2023-08-11,-690.7738981065236,client visit transport,travel
2025-04-17,-143.16365792315483,stationery purchase,office
2024-03-07,-709.6117020389119,flight ticket,travel
2023-10-10,493.93386155144015,customer payment received,income
2023-10-21,-747.4548528846184,hotel booking,travel
2022-11-28,-1682.817347668471,consultant salary,salary
2022-05-15,-2405.554594264373,building rent,rent
2024-03-21,-748.4384356338953,campaign spend,marketing
2025-07-21,-152.11937794539375,stationery purchase,office
2022-04-04,-123.25235742703784,printer ink,office
2025-06-07,-634.3040649824038,flight ticket,travel
2025-04-24,3866.817595695578,customer payment received,income
2023-02-09,-135.17705921176065,stationery purchase,office
2024-07-11,-292.8315997276662,internet bill,utilities
2022-08-30,-1807.5824302780886,employee payroll,salary
2025-01-12,-136.90836511559073,stationery purchase,office
2024-10-20,-835.6585994112627,promotional expense,marketing
2023-06-02,-1006.6481577721264,campaign spend,marketing
2022-04-10,-1764.91893937516,staff wage transfer,salary
2025-11-19,1400.9656710646873,customer payment received,income
2023-10-14,-366.2315558095884,internet bill,utilities
2025-07-28,-973.1982730804273,flight ticket,travel
2024-09-17,-872.2695788602299,social media ads,marketing
2025-02-11,-562.6341062776095,hotel booking,travel
2025-01-15,-1933.2364164715464,staff wage transfer,salary
2022-10-12,-1907.1667371342037,employee payroll,salary
